business_id,name,address,latitude,longitude,stars,review_count,categories,price_range,checkin_count
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,39.9555052,-75.1555641,4.0,80,"Restaurants, Food, Bubble Tea, Coffee & Tea, Bakeries",1,335
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,39.953949,-75.1432262,4.0,245,"Sushi Bars, Restaurants, Japanese",2,172
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,39.943223,-75.162568,4.5,205,"Korean, Restaurants",1,221
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,39.9398245705,-75.1574465632,4.0,65,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",2,81
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,40.0224662,-75.218314,3.0,41,"Pizza, Restaurants, Salad, Soup",1,9
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,39.9625821,-75.1356571,3.5,65,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",2,75
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,39.954573,-75.1948936,3.0,56,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",1,391
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,39.963077709,-75.1680274529,3.0,137,"Restaurants, Chinese",1,176
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,39.9470334,-75.1574339,4.5,72,"Seafood, Restaurants, Sushi Bars, Japanese",2,51
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,700 E. Hunting Park,40.012141,-75.1150148,1.5,15,"Burgers, Restaurants, Fast Food",1,5
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,39.9385518,-75.1496356,4.5,183,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",1,408
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,4002 Spruce St,39.9516153765,-75.2033457223,4.0,46,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",2,86
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,2609 Edgemont St,39.9768798,-75.1161695,4.5,12,"Food, Bakeries, Restaurants",1,7
